EDUCACION	7382	8939	.7	556	3.4
DEFENSA Y POLICIA	7959	8283	.2	23	3.1
TRABAJO	4422	6589	.9	167	2.3
SALUD Y PROTECCION SOCIAL	8162	8998	.6	36	.8
HACIENDA	3917	6123	5.8	205	.5
INCLUSION SOCIAL Y RECONCILIACION	469	972	.3	03	.6
TRANSPORTE	069	009	-13.1	-1060	.2
AGROPECUARIO	193	499	.3	06	.1
VIVIENDA, CIUDAD Y TERRITORIO	698	850	.1	52	.8
MINAS Y ENERGIA	146	628	5.3	82	.7
RAMA JUDICIAL	940	323	3.1	84	.5
FISCALIA	767	158	4.1	91	.5
JUSTICIA Y DEL DERECHO	659	612	-1.8	-47	.2
COMUNICACIONES	092	811	-13.4	-281	.8
ORGANISMOS DE CONTROL	441	499	.1	9	.7
PLANEACION	77	25	.6	9	.4
INTERIOR	17	14	-11.2	-103	.4
COMERCIO, INDUSTRIA Y TURISMO	05	97	-12.0	-108	.4
RELACIONES EXTERIORES	63	94	.6	0	.3
AMBIENTE Y DESARROLLO SOSTENIBLE	24	48	-12.1	-75	.3
PRESIDENCIA DE LA REPUBLICA	06	82	-20.5	-124	.2
REGISTRADURIA	120	25	-62.1	-696	.2
CONGRESO DE LA REPUBLICA	96	21	-15.2	-76	.2
INFORMACION ESTADISTICA	87	05	-31.0	-182	.2
CIENCIA Y TECNOLOGIA	78	79	.1		.2
CULTURA	97	67	-7.8	-31	.2
DEPORTE Y RECREACION	57	49	-2.1	-7	.2
EMPLEO PUBLICO	34	59	1.0	6	.1
INTELIGENCIA	78	7	-45.3	-81	.0
TOTAL PGN SIN DEUDA	60657	67255	.1	598	7.4
DEUDA	2452	8903	5.2	451	2.6
TOTAL PGN	03109	16158	.4	3049	00.0
